key	article_id	name	country_code	country_name	description	price	valid_from	valid_to
70	178	Q	ET	Ethiopia	Quite official capital. Yard public religious consumer exist threat. Center long prove Democrat customer threat.	80.48	2019-08-03 21:57:24	9999-12-31 23:59:59
71	188	R	DO	Dominican Republic	Compare question behind read animal check day. City note more rise your face.	88.92	2015-03-18 19:14:07	2018-10-14 11:32:00
72	188	R	DO	Dominican Republic	Compare question behind read animal check day. City note more rise your face.	24.11	2018-10-14 11:32:00	9999-12-31 23:59:59
73	190	R	LR	Liberia	Compare question behind read animal check day. City note more rise your face.	97.17	2020-04-11 09:44:02	9999-12-31 23:59:59
74	191	R	VC	Saint Vincent and the Grenadines	Compare question behind read animal check day. City note more rise your face.	95.38	2016-04-13 07:03:52	2019-08-05 16:36:15
75	191	R	VC	Saint Vincent and the Grenadines	Compare question behind read animal check day. City note more rise your face.	90.15	2019-08-05 16:36:15	9999-12-31 23:59:59
76	209	S	CA	Canada	Threat five new last start appear. Great explain certain. Appear data leader camera medical stop.	63.71	2017-07-03 03:10:33	9999-12-31 23:59:59
77	208	S	CO	Colombia	Threat five new last start appear. Great explain certain. Appear data leader camera medical stop.	91.02	2018-09-08 00:58:38	9999-12-31 23:59:59
78	199	S	DO	Dominican Republic	Threat five new last start appear. Great explain certain. Appear data leader camera medical stop.	45.75	2019-07-25 14:49:13	9999-12-31 23:59:59
79	200	S	ET	Ethiopia	Threat five new last start appear. Great explain certain. Appear data leader camera medical stop.	66.82	2015-03-02 11:35:50	9999-12-31 23:59:59
80	205	S	IQ	Iraq	Threat five new last start appear. Great explain certain. Appear data leader camera medical stop.	77.16	2022-08-12 08:00:12	9999-12-31 23:59:59
81	203	S	SB	Solomon Islands	Threat five new last start appear. Great explain certain. Appear data leader camera medical stop.	1.52	2017-11-21 05:21:48	9999-12-31 23:59:59
82	212	T	LR	Liberia	Claim why impact difficult leave. Positive team where often human radio. Husband describe test draw century choose.	8.65	2022-01-08 13:40:04	9999-12-31 23:59:59
83	214	T	SB	Solomon Islands	Claim why impact difficult leave. Positive team where often human radio. Husband describe test draw century choose.	18.53	2021-04-03 20:15:26	9999-12-31 23:59:59
84	218	T	SM	San Marino	Claim why impact difficult leave. Positive team where often human radio. Husband describe test draw century choose.	43.99	2016-05-07 23:49:45	9999-12-31 23:59:59
85	213	T	VC	Saint Vincent and the Grenadines	Claim why impact difficult leave. Positive team where often human radio. Husband describe test draw century choose.	67.35	2023-05-13 02:04:35	9999-12-31 23:59:59
86	223	U	LR	Liberia	Spend TV card scene loss method subject receive. Try end own sign. Big finish church today charge trial.	24.57	2015-09-27 07:35:34	9999-12-31 23:59:59
87	242	V	CA	Canada	Minute responsibility mission spend. Bad newspaper business similar. Something feeling body expert.	38.29	2016-03-09 09:51:08	9999-12-31 23:59:59
88	236	V	SB	Solomon Islands	Minute responsibility mission spend. Bad newspaper business similar. Something feeling body expert.	99.57	2016-08-01 08:05:10	9999-12-31 23:59:59
89	235	V	VC	Saint Vincent and the Grenadines	Minute responsibility mission spend. Bad newspaper business similar. Something feeling body expert.	38.11	2017-06-16 19:16:52	9999-12-31 23:59:59
90	253	W	CA	Canada	Authority difference class public.	78.77	2022-10-31 04:07:03	9999-12-31 23:59:59
91	248	W	CG	Congo	Authority difference class public.	13.9	2016-07-11 14:18:22	9999-12-31 23:59:59
92	261	X	BS	Bahamas	Action dinner painting deep effort. Price boy early. Decade happy among party store.	40.29	2015-07-28 17:34:50	9999-12-31 23:59:59
93	264	X	CA	Canada	Action dinner painting deep effort. Price boy early. Decade happy among party store.	57.68	2019-10-09 03:42:46	9999-12-31 23:59:59
94	254	X	DO	Dominican Republic	Action dinner painting deep effort. Price boy early. Decade happy among party store.	21.64	2020-10-19 00:15:50	9999-12-31 23:59:59
95	256	X	LR	Liberia	Action dinner painting deep effort. Price boy early. Decade happy among party store.	15.99	2022-06-19 00:09:05	9999-12-31 23:59:59
96	262	X	SM	San Marino	Action dinner painting deep effort. Price boy early. Decade happy among party store.	73.51	2021-03-15 14:34:01	9999-12-31 23:59:59
97	272	Y	BS	Bahamas	Card tonight plant. Away individual send today. Friend happen bring participant hospital such politics before. Cell similar realize space.	60.39	2015-09-28 01:46:14	2023-01-25 09:12:09
98	272	Y	BS	Bahamas	Card tonight plant. Away individual send today. Friend happen bring participant hospital such politics before. Cell similar realize space.	32.35	2023-01-25 09:12:09	9999-12-31 23:59:59
99	266	Y	ET	Ethiopia	Card tonight plant. Away individual send today. Friend happen bring participant hospital such politics before. Cell similar realize space.	93.24	2022-08-04 22:10:06	9999-12-31 23:59:59
100	276	Z	DO	Dominican Republic	Though long term learn board bring focus. Than spend suddenly how statement contain toward. Current thus hope tree character culture reason.	76.68	2019-12-24 04:20:20	9999-12-31 23:59:59
